label	x	y	x-scaled	y-scaled
N1	-0.309	0.9511	-154.5	475.55
N1h	-0.1564	0.9877	-78.2	493.85
N2	0.309	0.9511	154.5	475.55
N2h	0.1564	0.9877	78.2	493.85
NAS	0	1	0	500
NFp1	-0.2639	0.8123	-131.95	406.15
NFp1h	-0.1336	0.8436	-66.8	421.8
NFp2	0.2639	0.8123	131.95	406.15
NFp2h	0.1336	0.8436	66.8	421.8
NFpz	0	0.8541	0	427.05
Nz	0	1	0	500
O1	-0.2245	-0.691	-112.25	-345.5
O1h	-0.1137	-0.7176	-56.85	-358.8
O2	0.2245	-0.691	112.25	-345.5
O2h	0.1137	-0.7176	56.85	-358.8
OI1	-0.2639	-0.8123	-131.95	-406.15
OI1h	-0.1336	-0.8436	-66.8	-421.8
OI2	0.2639	-0.8123	131.95	-406.15
OI2h	0.1336	-0.8436	66.8	-421.8
OIz	0	-0.8541	0	-427.05
Oz	0	-0.7266	0	-363.3
P1	-0.1349	-0.3302	-67.45	-165.1
P10	0.809	-0.5878	404.5	-293.9
P10h	0.691	-0.5021	345.5	-251.05
P1h	-0.0672	-0.3262	-33.6	-163.1
P2	0.1349	-0.3302	67.45	-165.1
P2h	0.0672	-0.3262	33.6	-163.1
P3	-0.2744	-0.3467	-137.2	-173.35
P3h	-0.2038	-0.3369	-101.9	-168.45
P4	0.2744	-0.3467	137.2	-173.35
P4h	0.2038	-0.3369	101.9	-168.45
P5	-0.4234	-0.3771	-211.7	-188.55
P5h	-0.3474	-0.3599	-173.7	-179.95
P6	0.4234	-0.3771	211.7	-188.55
P6h	0.3474	-0.3599	173.7	-179.95
P7	-0.5879	-0.427	-293.95	-213.5
P7h	-0.5032	-0.3992	-251.6	-199.6
P8	0.5879	-0.427	293.95	-213.5
P8h	0.5032	-0.3992	251.6	-199.6
P9	-0.809	-0.5878	-404.5	-293.9
P9h	-0.691	-0.5021	-345.5	-251.05
PO1	-0.1025	-0.5139	-51.25	-256.95
PO10	0.5878	-0.809	293.9	-404.5
PO10h	0.5021	-0.691	251.05	-345.5
PO1h	-0.0512	-0.5105	-25.6	-255.25
PO2	0.1025	-0.5139	51.25	-256.95
PO2h	0.0512	-0.5105	25.6	-255.25
PO3	-0.2067	-0.5274	-103.35	-263.7
PO3h	-0.1543	-0.5194	-77.15	-259.7
PO4	0.2067	-0.5274	103.35	-263.7
PO4h	0.1543	-0.5194	77.15	-259.7
PO5	-0.3143	-0.5513	-157.15	-275.65
PO5h	-0.26	-0.5379	-130	-268.95
PO6	0.3143	-0.5513	157.15	-275.65
PO6h	0.26	-0.5379	130	-268.95
PO7	-0.427	-0.5879	-213.5	-293.95
PO7h	-0.3699	-0.5678	-184.95	-283.9
PO8	0.427	-0.5879	213.5	-293.95
PO8h	0.3699	-0.5678	184.95	-283.9
PO9	-0.5878	-0.809	-293.9	-404.5
PO9h	-0.5021	-0.691	-251.05	-345.5
POO1	-0.0803	-0.6148	-40.15	-307.4
POO10	0.454	-0.891	227	-445.5
POO10h	0.3878	-0.761	193.9	-380.5
POO1h	-0.0401	-0.6133	-20.05	-306.65
POO2	0.0803	-0.6148	40.15	-307.4
POO2h	0.0401	-0.6133	20.05	-306.65
POO3	-0.1615	-0.621	-80.75	-310.5
POO3h	-0.1207	-0.6174	-60.35	-308.7
POO4	0.1615	-0.621	80.75	-310.5
POO4h	0.1207	-0.6174	60.35	-308.7
POO5	-0.2443	-0.6317	-122.15	-315.85
POO5h	-0.2027	-0.6258	-101.35	-312.9
POO6	0.2443	-0.6317	122.15	-315.85
POO6h	0.2027	-0.6258	101.35	-312.9
POO7	-0.3299	-0.6474	-164.95	-323.7
POO7h	-0.2867	-0.6388	-143.35	-319.4
POO8	0.3299	-0.6474	164.95	-323.7
POO8h	0.2867	-0.6388	143.35	-319.4
POO9	-0.454	-0.891	-227	-445.5
POO9h	-0.3878	-0.761	-193.9	-380.5
POOz	0	-0.6128	0	-306.4
POz	0	-0.5095	0	-254.75
PPO1	-0.1207	-0.4195	-60.35	-209.75
PPO10	0.7071	-0.7071	353.55	-353.55
PPO10h	0.6039	-0.6039	301.95	-301.95
PPO1h	-0.0602	-0.4155	-30.1	-207.75
PPO2	0.1207	-0.4195	60.35	-209.75
PPO2h	0.0602	-0.4155	30.1	-207.75
PPO3	-0.2444	-0.4361	-122.2	-218.05
PPO3h	-0.182	-0.4263	-91	-213.15
PPO4	0.2444	-0.4361	122.2	-218.05
PPO4h	0.182	-0.4263	91	-213.15
PPO5	-0.3743	-0.4661	-187.15	-233.05
PPO5h	-0.3084	-0.4493	-154.2	-224.65
PPO6	0.3743	-0.4661	187.15	-233.05
PPO6h	0.3084	-0.4493	154.2	-224.65
PPO7	-0.5138	-0.5138	-256.9	-256.9
PPO7h	-0.4426	-0.4874	-221.3	-243.7
PPO8	0.5138	-0.5138	256.9	-256.9
PPO8h	0.4426	-0.4874	221.3	-243.7
PPO9	-0.7071	-0.7071	-353.55	-353.55
PPO9h	-0.6039	-0.6039	-301.95	-301.95
PPOz	0	-0.4142	0	-207.1
Pz	0	-0.3249	0	-162.45
RPA	1	0	500	0
T10	1	0	500	0
T10h	0.8541	0	427.05	0
T7	-0.7266	0	-363.3	0
T7h	-0.6128	0	-306.4	0
T8	0.7266	0	363.3	0
T8h	0.6128	0	306.4	0
T9	-1	0	-500	0
T9h	-0.8541	0	-427.05	0
TP10	0.9511	-0.309	475.55	-154.5
TP10h	0.8123	-0.2639	406.15	-131.95
TP7	-0.691	-0.2245	-345.5	-112.25
TP7h	-0.5852	-0.2057	-292.6	-102.85
TP8	0.691	-0.2245	345.5	-112.25
TP8h	0.5852	-0.2057	292.6	-102.85
TP9	-0.9511	-0.309	-475.55	-154.5
TP9h	-0.8123	-0.2639	-406.15	-131.95
TPP10	0.891	-0.454	445.5	-227
TPP10h	0.761	-0.3878	380.5	-193.9
TPP7	-0.6474	-0.3299	-323.7	-164.95
TPP7h	-0.5509	-0.3048	-275.45	-152.4
TPP8	0.6474	-0.3299	323.7	-164.95
TPP8h	0.5509	-0.3048	275.45	-152.4
TPP9	-0.891	-0.454	-445.5	-227
TPP9h	-0.761	-0.3878	-380.5	-193.9
TTP10	0.9877	-0.1564	493.85	-78.2
TTP10h	0.8436	-0.1336	421.8	-66.8
TTP7	-0.7176	-0.1137	-358.8	-56.85
TTP7h	-0.6059	-0.1036	-302.95	-51.8
TTP8	0.7176	-0.1137	358.8	-56.85
TTP8h	0.6059	-0.1036	302.95	-51.8
TTP9	-0.9877	-0.1564	-493.85	-78.2
TTP9h	-0.8436	-0.1336	-421.8	-66.8
